,channelid,videoid,video_title,video_description,topiccategories,videothumbnails,videotags,videocommentcount,videodislikecount,videolikeCount,videoviewcount,categoryId
16,UCc6W7efUSkd9YYoxOnctlFg,sbWZ7pDp6Mg,Back to School: Locker Organization + DIY Decorations!,YAY! Thumbs up for more Back to School with Beth videos!! I wanna see YOUR locker accessories! Send me a picture to twitter or instagram with hash tag ...,['Lifestyle'],https://i.ytimg.com/vi/sbWZ7pDp6Mg/hqdefault.jpg,"['macbarbie07', 'bethany', 'mota', 'back', 'to', 'school', 'locker', 'decorations', 'organization', 'essentials', 'must', 'haves', 'survival', 'kit', 'diy', 'do', 'it', 'you']",28982,2886,192841,9669207,26
17,UCc6W7efUSkd9YYoxOnctlFg,BOtCScfTpT4,GINGERBREAD HOUSE CHALLENGE ft. The Merrell Twins!,Check out the video we filmed for The Merrell Twins channel! https://www.youtube.com/watch?v=xIpT0gV5Lfs HAPPY HOLIDAYS! Xx Beth Follow me! YouTube: ...,"['Lifestyle', 'Food']",https://i.ytimg.com/vi/BOtCScfTpT4/hqdefault.jpg,"['bethany mota', 'bethany moto', 'bethany', 'mota', 'macbarbie07', 'lifestyle', 'comedy', 'gingerbread challenge', 'merrell twins', 'challenge', 'decorating', 'gingerbread house', 'christmas', 'diy']",2588,257,27822,677212,26
18,UCc6W7efUSkd9YYoxOnctlFg,0HrjhunF9jw,"Japan Haul! Clothing, Makeup + more!","Thumbs up for more haul videos! XOXO, Beth Here's my links! So we can chat all day err day..hehe :) Instagram: Bethanynoelm Keek: BethanyMota Vine: ...","['Fashion', 'Lifestyle']",https://i.ytimg.com/vi/0HrjhunF9jw/hqdefault.jpg,"['macbarbie07', 'bethany', 'mota', 'haul', 'video', 'japan', 'makeup', 'clothes', 'fashion', 'style', 'harajuku', 'tokyo', 'travel', 'blog', 'fun']",14443,1540,106163,3166927,26
19,UCc6W7efUSkd9YYoxOnctlFg,c1B0KO_0Qtk,Morning Routine: Summer 2014!,Hiiii my cuties! Thanks for watching my video :) I just wanted to remind you all that I love you.. like A LOT.. like SOO MUCH - Beth Here are my links so we can ...,['Lifestyle'],https://i.ytimg.com/vi/c1B0KO_0Qtk/hqdefault.jpg,"['Bethany Mota', 'Morning Routine', 'Summer morning routine', 'summer 2014', 'getting ready', 'makeup routine', 'hair routine', 'breakfast recipe', 'shower routine', 'summer makeup', 'coffee', 'fruit', 'outfit', 'summer outfit', 'day in my life', 'vlog']",40476,5060,342327,14407747,1
20,UCc6W7efUSkd9YYoxOnctlFg,6JXNG8rbeKc,Tour Bus/Room Tour! + Giveaway,NEW VIDEO on my second channel! DIY Shamrock Shake & Cotton candy frap: ...,['Lifestyle'],https://i.ytimg.com/vi/6JXNG8rbeKc/hqdefault.jpg,"['bethany', 'mota', 'bethanymota', 'tour bus tour', 'tour', 'room tour', 'tour bus', 'bedroom', 'vlog', 'giveaway', 'aeropostale', 'clothing line', 'Aéropostale (Organization)']",114405,2593,270027,6574868,26
21,UCc6W7efUSkd9YYoxOnctlFg,SY9g_g6dXog,DIY Challenge: Fall Edition Feat. Niki &amp; Gabi!,THUMBS UP FOR MORE DIY CHALLENGES & MORE #MOTAMAR COLLABS! Thanks for watching loves :) who's excited for fall? Xx Beth Check out Niki ...,"['Lifestyle', 'Technology']",https://i.ytimg.com/vi/SY9g_g6dXog/hqdefault.jpg,"['bethany mota', 'bethany moto', 'bethany', 'beth', 'mota', 'macbarbie07', 'macbarbie', 'comedy', 'lifestyle', 'diy challenge', 'DIY', 'CHALLENGE', 'diy room', 'room decor', 'target', 'bethanyslife', 'fall', 'wall art', 'easy diy', 'funny', 'shopping', 'more', 'diy ideas', 'niki gabi', 'niki', 'gabi', 'room']",4371,1004,56398,1351764,26
22,UCc6W7efUSkd9YYoxOnctlFg,zm48WoRs0hA,"Perfect Back to School Hair, Makeup &amp; Outfit!",YAY! Thumbs up for more Back to School with Beth videos!! When do you go back to school? lemme know in the comments! xoxo Beth Here's my links! So we ...,"['Fashion', 'Lifestyle']",https://i.ytimg.com/vi/zm48WoRs0hA/hqdefault.jpg,"['macbarbie07', 'bethany', 'mota', 'back', 'to', 'school', 'first', 'day', 'hair', 'makeup', 'outfit', 'tutorial', 'how', 'style', 'ideas']",50092,1502,130655,4225207,26
23,UCc6W7efUSkd9YYoxOnctlFg,vQxcuKvHBfs,"Airplane/Traveling Hair, Makeup,Outfit! +My Carry on essentials","xoxo, Beth Here's my links! So we can chat all day err day..hehe :) Instagram: Bethanynoelm Keek: BethanyMota Pheed: Bethanynoelmota My Twitter!","['Fashion', 'Lifestyle']",https://i.ytimg.com/vi/vQxcuKvHBfs/hqdefault.jpg,"['macbarbie07', 'bethanyslife', 'bethany', 'mota', 'airplane', 'style', 'traveling', 'makeup', 'hair', 'outfit', 'fashion', 'carry', 'on', 'essentials', 'tips', 'airpo']",16941,2309,132255,7200716,26
24,UCc6W7efUSkd9YYoxOnctlFg,0Tl79OunN18,"Sick/Lazy Days Hair, Makeup &amp; Outfit! + My sick day essentials","My P.O Box! :) Bethany Mota 11420 Santa Monica Blvd. #25443 Los Angeles, CA 90025 Thanks so much for watching! Send me a picture if you re create this ...",['Lifestyle'],https://i.ytimg.com/vi/0Tl79OunN18/hqdefault.jpg,"['macbarbie07', 'bethanyslife', 'bethanymota', 'sick', 'days', 'lazy', 'under', 'the', 'weather', 'cold', 'flu', 'makeup', 'hair', 'outfit', 'beauty', 'tips']",23357,2429,143525,8210902,26
25,UCsooa4yRKGN_zEE8iknghZA,R9OCA6UFE-0,The philosophy of Stoicism - Massimo Pigliucci,View full lesson: http://ed.ted.com/lessons/the-philosophy-of-stoicism-massimo-pigliucci What is the best life we can live? How can we cope with whatever the ...,,https://i.ytimg.com/vi/R9OCA6UFE-0/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Education', 'TED Ed', 'Massimo Pigliucci', 'Asparuh Petrov', 'Stoicism', 'stoic', 'philosophy', 'Zeno of Cyprus', 'Athens', 'Socrates', 'wisdom', 'temperance', 'justice', 'courage', 'Seneca', 'Nelson Mandela', 'Marcus Aurelius', 'Ataraxia', 'Nirvana', 'rational emotive behavioral therapy', 'logotherapy', 'Epictetus']",3084,1619,202812,5148372,27
