,channelid,videoid,commentvideoid,commentid,authorchannelid,authorchannelurl,authordisplayname,authorprofileimageurl,likecount,textdisplay
0,UCbAwSkqJ1W_Eg7wr3cp5BUA,Ihoys69G56U,Ihoys69G56U,Ugx-abIrIzCxJxUoUFl4AaABAg,UCbAwSkqJ1W_Eg7wr3cp5BUA,http://www.youtube.com/channel/UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,https://yt3.ggpht.com/a/AATXAJwuTxYzGSZMwfcuBbi2GvXirNKnv-qpsrVRlcc5=s48-c-k-c0xffffffff-no-rj-mo,20193,"HELLO FRIENDS!! i know it&#39;s been a hot second, but it&#39;s finally here!! MY FIRST TATTOO THAT Y&#39;ALL HELPED PICK! sorry i missed last week, but we are back up and running over here! love you guys &lt;3"
0,UCsT0YIqwnpJCM-mx7-gSA4Q,NHHPNMIK-fY,NHHPNMIK-fY,UgzbQK3zgXhgPblkh5F4AaABAg,UCQ3RJCBsQ5BvQu80_dDYCfw,http://www.youtube.com/channel/UCQ3RJCBsQ5BvQu80_dDYCfw,Amber Berry,https://yt3.ggpht.com/a/AATXAJwFbHpynkwGa6gcZJonJZpT3oTN9Js4MA0gUA=s48-c-k-c0xffffffff-no-rj-mo,0,That is awesome.
0,UC8-Th83bH_thdKZDJCrn88g,cLmCJKT5ssw,cLmCJKT5ssw,UgxYXX4l1dh-xv94NKR4AaABAg,UCnlMJA95O0yYGxFlh3bbptA,http://www.youtube.com/channel/UCnlMJA95O0yYGxFlh3bbptA,EXENOX,https://yt3.ggpht.com/a/AATXAJwBCxBYcbyWrVUAUQ4W_lCWuGdBAtSzErZQpiL8Jw=s48-c-k-c0xffffffff-no-rj-mo,0,"<a href=""https://www.youtube.com/watch?v=cLmCJKT5ssw&amp;t=1m06s"">1:06</a><br />Ill just leave this here"
0,UCiGm_E4ZwYSHV3bcW1pnSeQ,viimfQi_pUw,viimfQi_pUw,Ugzav_9gHELQ_aBYWtR4AaABAg,UCE0wGrDQxtgmo9BPViZqafA,http://www.youtube.com/channel/UCE0wGrDQxtgmo9BPViZqafA,Andreinate Cruz,https://yt3.ggpht.com/a/AATXAJxkqfcCgfwGQ8gxdghN2v8hEqLXzebUrzMT-A=s48-c-k-c0xffffffff-no-rj-mo,1,Billie eilish is a robot
0,UCpko_-a4wgz2u_DgDgd9fqA,QTrqGwj3XpA,QTrqGwj3XpA,Ugz7NNOrZmyzH81nvoV4AaABAg,UCzBbiW6nRbHi8_ZFRLpff_g,http://www.youtube.com/channel/UCzBbiW6nRbHi8_ZFRLpff_g,assskiii,https://yt3.ggpht.com/a/AATXAJy3GUivnmSwRQlHgKqtFtvx4gdaNVHHH6Dy-tZclA=s48-c-k-c0xffffffff-no-rj-mo,0,"Let me make you a damn casserole and then you’ll understand Eugene, its just an easy way to put everything in one thing 😂"
0,UCsTcErHg8oDvUnTzoqsYeNw,Hi2tjMLVpdQ,Hi2tjMLVpdQ,UgxgyBI973N_hfA9GNB4AaABAg,UCsTcErHg8oDvUnTzoqsYeNw,http://www.youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,https://yt3.ggpht.com/a/AATXAJw-QM8qKN656goqN2rMXFNZiqs13_DzxBrALSmY_w=s48-c-k-c0xffffffff-no-rj-mo,19137,"If this video hits 100,000 likes I&#39;ll definitely do it again next year! Thx to everyone for being involved 🙏"
0,UCSAUGyc_xA8uYzaIVG6MESQ,xfeys7Jfnx8,xfeys7Jfnx8,UgxqdqkodrJU7nd_sGB4AaABAg,UCS-pAztqpEuUH7Vt7imoCmQ,http://www.youtube.com/channel/UCS-pAztqpEuUH7Vt7imoCmQ,Teetimefun,https://yt3.ggpht.com/a/AATXAJwBvp1axM_GxbNiI2YPpn2GrD1EMb5onfMQX8HC=s48-c-k-c0xffffffff-no-rj-mo,0,"Can we all appreciate the gender equality, there is a girl in the classroom"
0,UCQZfFRohQ7UX-0CdXl-6pwQ,hC8fHCj6sBU,hC8fHCj6sBU,UgyMtfMsqXtZF5BqPN54AaABAg,UCQZfFRohQ7UX-0CdXl-6pwQ,http://www.youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,https://yt3.ggpht.com/a/AATXAJz3PgPTpopifQxnpAWhX6L0W8pYGQgpvMoiwprWsg=s48-c-k-c0xffffffff-no-rj-mo,61047,"JAJAJA LINDURAS NO PUEDE SER LAS VERGÜENZAS QUE PASE EN ESTE VIDEO, pero todo por complacerlos bebes 💓, los amo muchísimo gracias por todo su apoyo ✨"
0,UCj22tfcQrWG7EMEKS0qLeEg,XvyKSWfxM_w,XvyKSWfxM_w,Ugz0-v_iCkT23wX-Iz94AaABAg,UCj22tfcQrWG7EMEKS0qLeEg,http://www.youtube.com/channel/UCj22tfcQrWG7EMEKS0qLeEg,CarryMinati,https://yt3.ggpht.com/a/AATXAJyWa_nQ2qFeJ67Zwe6QGgaZCs_QlZvn_IGEImn8Iw=s48-c-k-c0xffffffff-no-rj-mo,79714,Agar inki Shaadi hogyi toh aadha desh doob jayega...
0,UCIPA6iWNaoetaa1T46RkzXw,9h1l5Z0mH0w,9h1l5Z0mH0w,UgzI40LoblF5SlbQ6id4AaABAg,UCJBEM9PT7Tbja3V1Cs6B1CA,http://www.youtube.com/channel/UCJBEM9PT7Tbja3V1Cs6B1CA,yHey Offy,https://yt3.ggpht.com/a/AATXAJzMFraG0nc1NDLiwjy4cS6k_5f7whQcfS-kFErqyQ=s48-c-k-c0xffffffff-no-rj-mo,0,Amei minha infância 🤡👁👄👁
0,UCUAL--p3qAa27luR0IYbjZA,lw7a70PLSMw,lw7a70PLSMw,UgyvcGBcdPFTN3GzF914AaABAg,UCP59WfU9Nv-57-AxDWyYBpQ,http://www.youtube.com/channel/UCP59WfU9Nv-57-AxDWyYBpQ,Nihal hilal Ok,https://yt3.ggpht.com/a/AATXAJxkCeYOvsr7R8bOikQXdC6PI0X-vdAQF7bhVw=s48-c-k-c0xffffffff-no-rj-mo,0,WOW <br />😮😮😮😮😮
1,UCS_BD8cjFA8juZogPH5hEjg,e6GjRy0j01k,lw7a70PLSMw,Ugw_2ZaiOl3wB0Zos7J4AaABAg,UCsBy_fsGSdP1FSReZ4JM37w,http://www.youtube.com/channel/UCsBy_fsGSdP1FSReZ4JM37w,Lokesh Yd,https://yt3.ggpht.com/a/AATXAJzewki5f0m6Gv42rNQb1zlSNV7daJpBecVbPdf6=s48-c-k-c0xffffffff-no-rj-mo,0,its little bit wrong but nice
0,UCczFdwWpVEpoqb-eMm4c4dQ,BkKDBD3qtqo,BkKDBD3qtqo,UgzbeA4nI0mF_fCuZ2h4AaABAg,UCCnEbhSoQyiGM0cocWfKdKw,http://www.youtube.com/channel/UCCnEbhSoQyiGM0cocWfKdKw,James Baisden,https://yt3.ggpht.com/a/AATXAJx5Zgx_lTZnYa7g8mZAANRKtEfNZjhsJQzuoQ=s48-c-k-c0xffffffff-no-rj-mo,0,crinch&#39;
1,UCCB1Byx5yTbLpQaV-rlfmtA,qvQ_O0UX87I,BkKDBD3qtqo,UgynBUWCj6eUY7rb2mt4AaABAg,UCQi2ygDdvDBwA-2ph4dd92Q,http://www.youtube.com/channel/UCQi2ygDdvDBwA-2ph4dd92Q,Anthony Julius,https://yt3.ggpht.com/a/AATXAJyjaXUyXnvxxN6QIxJ8vR9CUnXKUXy2PNoJFQ=s48-c-k-c0xffffffff-no-rj-mo,0,3:00 AM
0,UCjwmbv6NE4mOh8Z8VhPUx1Q,ZGhRVjMXX0A,ZGhRVjMXX0A,Ugyr0fW7PMz8OHMex0t4AaABAg,UC8FoMHHu6HcW-GG53hqlKpQ,http://www.youtube.com/channel/UC8FoMHHu6HcW-GG53hqlKpQ,Miss Brittany,https://yt3.ggpht.com/a/AATXAJxHxRY2KP4ApEMveV2h8pRFBSUh9iT0Jxo-vDj6Xg=s48-c-k-c0xffffffff-no-rj-mo,0,Hi haha 😂
